"file","subject","time","condition","SMS5_1","SMS5_2","SMS5_3","SMS5_4","SMS5_5","P0_Q1","P0_Q2","P0_Q3","ITW_1","ITW_2","ITW_3","ITW_4","ITW_5","ITW_6","posimgs","age","gender","pics","SMS5_2r","SMS5_4r","ITW_3r","ITW_4r","ITW_6r","SMS5","SVS","ITW","ITW_group","stimulus","qbit","accuracy","Q0","autonomie1","autonomie2","autonomie3","BF"
43,"594uxm7au4tpva06","2023-09-07T14:18:40Z","save",4,0,0,6,0,10,10,10,4,5,5,5,5,5,2,222,"männlich",7,6,0,0,0,0,2,10,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,0.8732006763175374
44,"dfkngo8etgo0422y","2023-09-07T14:20:10Z","save",1,3,1,3,0,7,6,7,2,2,5,4,2,5,14,32,"weiblich",12,3,3,0,1,0,1.6,6.666666666666667,1.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,0.9518788170218637
45,"mwrw6c85qcwuroya","2023-09-07T14:25:08Z","save",2,2,4,5,0,6,3,5,2,5,4,0,1,3,11,33,"weiblich",12,4,1,1,5,2,2.2,4.666666666666667,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.0442035406601011
47,"bs1g3qtmxlsjtmef","2023-09-07T14:31:28Z","save",1,4,1,3,0,9,8,8,3,3,4,2,3,3,12,47,"weiblich",11,2,3,1,3,2,1.4,8.333333333333334,2.5,"low",NA,NA,NA,NA,NA,NA,NA,1.0978928598664643
49,"fc3sxq03o4g3ungs","2023-09-07T14:33:47Z","save",4,2,2,1,0,5,2,2,3,3,5,3,2,3,12,33,"weiblich",7,4,5,0,2,2,3,3,2,"low",NA,NA,NA,NA,NA,NA,NA,0.9243430416122808
50,"4ygyq5r0gv91rc3p","2023-09-07T14:34:51Z","save",2,5,0,5,1,8,7,9,5,5,2,3,4,2,14,24,"weiblich",13,1,1,3,2,3,1,8,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.053742542624851
51,"m91boddsmq8o8q9q","2023-09-07T14:36:01Z","save",2,5,2,3,1,8,5,7,3,3,4,3,2,3,14,22,"weiblich",14,1,3,1,2,2,1.8,6.666666666666667,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.2607478787752986
52,"8lmjw35swq8yzg0m","2023-09-07T14:36:17Z","save",4,2,1,1,0,3,3,8,3,3,1,1,0,3,12,22,"weiblich",13,4,5,4,4,2,2.8,4.666666666666667,2.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.4679448707128075
54,"qn30bun2xcwz1xdo","2023-09-07T14:46:48Z","save",3,3,1,2,1,4,4,4,5,5,2,2,5,2,9,38,"weiblich",9,3,4,3,3,3,2.4,4,4,"high",NA,NA,NA,NA,NA,NA,NA,1.3768919389182068
55,"3l0hez0velmg4rb1","2023-09-07T14:51:20Z","save",4,1,4,3,4,4,6,6,5,4,3,3,4,3,6,25,"weiblich",6,5,3,2,2,2,4,5.333333333333333,3.166666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.0741683764997563
57,"3huwpl796ulucawe","2023-09-07T14:53:09Z","save",1,4,1,4,1,5,6,6,2,3,3,4,2,3,15,32,"weiblich",11,2,2,2,1,2,1.4,5.666666666666667,2,"low",NA,NA,NA,NA,NA,NA,NA,1.123605034169427
59,"4gcxsrjf44gp5ue7","2023-09-07T15:01:39Z","save",2,1,3,2,0,4,3,6,1,1,3,3,2,3,8,24,"weiblich",15,5,4,2,2,2,2.8,4.333333333333333,1.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.3822309656714191
60,"cajzbbnshmgxflcj","2023-09-07T15:07:59Z","save",0,3,2,3,0,5,5,5,4,4,4,2,2,2,9,31,"männlich",9,3,3,1,3,3,1.6,5,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1.3065556284803888
61,"zv2eco7xma81p6n2","2023-09-07T15:14:57Z","save",6,0,6,0,6,1,1,1,5,4,0,0,5,0,5,33,"weiblich",7,6,6,5,5,5,6,1,4.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1.1082303013619368
63,"8q8e9mhxc5kmnwgs","2023-09-07T15:39:20Z","save",1,5,1,4,0,5,3,6,3,3,3,2,2,3,12,33,"weiblich",12,1,2,2,3,2,1,4.666666666666667,2.5,"low",NA,NA,NA,NA,NA,NA,NA,1.20870458526136
67,"bcgge40901mcq9nj","2023-09-07T16:11:35Z","save",0,4,1,4,3,4,4,4,3,4,3,1,1,2,18,54,"weiblich",10,2,2,2,4,3,1.6,4,2.833333333333333,"high",NA,NA,NA,NA,NA,NA,NA,1.207216721985774
69,"cxz804py143209rp","2023-09-07T16:24:28Z","save",1,5,1,3,0,8,8,9,4,4,5,2,1,3,9,25,"weiblich",12,1,3,0,3,2,1.2,8.333333333333334,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,1.3244402019060935
70,"14f7hvgm4jq4ej6p","2023-09-07T16:24:32Z","save",0,5,0,6,0,9,7,7,2,2,3,4,1,3,12,43,"männlich",12,1,0,2,1,2,0.2,7.666666666666667,1.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.4614666141969408
77,"1hk8q8f379jffljg","2023-09-07T16:54:12Z","save",1,5,0,5,0,8,8,8,4,4,3,0,2,3,13,40,"weiblich",12,1,1,2,5,2,0.6,8,3.166666666666667,"high",NA,NA,NA,NA,NA,NA,NA,1.6227222467137181
78,"blta2n2mjhsk5szq","2023-09-07T17:10:22Z","save",0,4,0,3,0,8,6,9,2,2,3,4,2,4,14,34,"weiblich",13,2,3,2,1,1,1,7.666666666666667,1.666666666666667,"low",NA,NA,NA,NA,NA,NA,NA,1.9026243439875943
79,"y58zkgavlb0trg6o","2023-09-07T17:11:16Z","save",0,3,0,5,0,6,5,5,4,5,3,2,4,1,12,23,"männlich",12,3,1,2,3,4,0.8,5.333333333333333,3.666666666666667,"high",NA,NA,NA,NA,NA,NA,NA,2.146690940964337
81,"mggr5v27ox6t8l9e","2023-09-07T17:31:20Z","save",5,2,3,1,3,2,2,5,3,3,2,2,3,2,11,34,"weiblich",11,4,5,3,3,3,4,3,3,"high",NA,NA,NA,NA,NA,NA,NA,2.297692754656935
83,"zpz51j0l6qxkel5p","2023-09-07T17:35:38Z","save",4,5,1,5,3,8,8,8,5,5,4,2,4,2,14,31,"weiblich",12,1,1,1,3,3,2,8,3.5,"high",NA,NA,NA,NA,NA,NA,NA,2.6252777582021554
84,"wu3cwjhl3bh4hqak","2023-09-07T17:44:28Z","save",2,4,1,4,1,7,6,6,0,1,5,3,1,4,13,22,"männlich",14,2,2,0,2,1,1.6,6.333333333333333,0.833333333333333,"low",NA,NA,NA,NA,NA,NA,NA,3.3575795443228014
85,"6vgedw1mcyn8so04","2023-09-07T17:50:00Z","save",0,6,0,6,0,9,9,10,4,4,4,4,4,4,11,64,"weiblich",10,0,0,1,1,1,0,9.333333333333334,2.5,"low",NA,NA,NA,NA,NA,NA,NA,3.364893997420072
87,"0g379lcux7qp040g","2023-09-07T19:17:33Z","save",1,2,1,3,2,7,4,6,3,3,5,2,2,3,14,29,"weiblich",14,4,3,0,3,2,2.2,5.666666666666667,2.166666666666667,"low",NA,NA,NA,NA,NA,NA,NA,4.391470898015775
89,"cvvrg32m0801b3x0","2023-09-07T21:27:22Z","save",2,1,5,1,6,9,8,9,4,4,4,3,1,3,8,32,"weiblich",10,5,5,1,2,2,4.6,8.666666666666666,2.333333333333333,"low",NA,NA,NA,NA,NA,NA,NA,4.402241337183199
90,"bvr2ldbzoeabfvzh","2023-09-07T21:37:19Z","save",3,5,3,3,1,10,10,10,5,5,2,2,1,1,12,29,"weiblich",13,1,3,3,3,4,2.2,10,3.5,"high",NA,NA,NA,NA,NA,NA,NA,5.570070763562832
91,"cle9nsk9lknh8dwr","2023-09-07T21:38:56Z","save",0,4,1,6,0,6,2,7,4,4,4,2,4,2,11,22,"männlich",11,2,0,1,3,3,0.6,5,3.166666666666667,"high",NA,NA,NA,NA,NA,NA,NA,6.148667216452002
97,"3mh7g8l2ne81grr6","2023-09-08T03:59:03Z","save",0,0,6,0,6,0,0,0,5,5,0,0,5,0,10,36,"weiblich",10,6,6,5,5,5,4.8,0,5,"high",NA,NA,NA,NA,NA,NA,NA,6.164129110899143
98,"subgb3kdk7os07u1","2023-09-08T04:21:28Z","save",0,4,1,3,0,8,4,5,3,3,4,2,3,3,12,54,"weiblich",13,2,3,1,3,2,1.2,5.666666666666667,2.5,"low",NA,NA,NA,NA,NA,NA,NA,7.993431922765924
