"subject","time","condition","player","hitsR1","hitsR2","hitsR3","hitsR4","hitsR5","hitsR6","hitsR7","hitsR8","hitsR9","hitsR10","hitsR11","hitsR12","hitsR13","hitsR14","hitsR15","hitsR16","hitsR17","hitsR18","hitsR19","hitsR20","hitsR21","hitsR22","hitsR23","hitsR24","hitsR25","hitsR26","hitsR27","hitsR28","hitsR29","hitsR30","hitsR31","hitsR32","hitsR33","hitsR34","hitsR35","hitsR36","hitsR37","hitsR38","hitsR39","hitsR40","hitsR41","hitsR42","hitsR43","hitsR44","hitsR45","hitsR46","hitsR47","hitsR48","hitsR49","hitsR50","hitsR51","hitsR52","hitsR53","hitsR54","hitsR55","hitsR56","hitsR57","hitsR58","hitsR59","hitsR60","hitsR61","hitsR62","hitsR63","hitsR64","hitsR65","hitsR66","hitsR67","hitsR68","hitsR69","hitsR70","hitsR71","hitsR72","hitsR73","hitsR74","hitsR75","hitsR76","hitsR77","hitsR78","hitsR79","hitsR80","hitsR81","hitsR82","hitsR83","hitsR84","hitsR85","hitsR86","hitsR87","hitsR88","hitsR89","hitsR90","hitsR91","hitsR92","hitsR93","hitsR94","hitsR95","hitsR96","hitsR97","hitsR98","hitsR99","hitsR100","age","gender","roulette","gewinnen","endresult","hit_player","BF"
"ndl86n3kmp3mcbeu","2023-05-19T18:10:59Z","exp",18,1,4,3,2,3,6,2,3,6,5,6,5,4,5,6,5,4,4,4,6,6,6,5,5,6,3,4,4,4,8,4,3,5,7,7,4,5,6,5,3,6,4,6,4,6,8,4,4,6,6,4,5,4,6,5,3,5,4,3,8,4,4,4,4,7,5,4,3,6,4,4,4,6,4,7,6,5,5,5,4,3,4,6,4,5,7,5,6,6,2,8,3,8,5,4,5,6,8,5,7,26,"männlich","Ja",3,-160,4,1.3897006889573857
"9o3733tshdvqhwux","2023-05-19T18:30:57Z","con",33,6,4,4,4,3,3,5,6,5,4,6,4,4,8,5,2,4,6,4,7,4,8,6,3,1,4,6,6,4,1,8,3,4,7,4,6,4,5,7,4,3,1,4,6,7,6,5,4,5,6,6,5,5,4,2,7,2,8,3,4,3,4,4,5,4,3,6,5,5,4,4,6,5,4,4,6,4,7,3,4,5,2,3,3,5,5,5,3,5,5,3,5,6,4,6,7,9,6,7,5,20,"weiblich","Ja",5,140,7,1.7207697397278403
"16gfwhuexyoj2mn8","2023-05-19T20:55:49Z","con",96,5,5,4,5,5,6,6,6,5,4,4,6,6,4,9,3,4,5,5,5,2,2,5,4,6,4,7,3,4,5,7,4,4,4,3,6,6,5,5,4,4,3,3,5,6,4,4,6,6,7,2,5,8,5,4,7,2,5,5,5,5,6,4,4,5,5,6,9,6,5,3,7,5,6,6,7,7,6,6,6,7,6,2,5,5,8,4,3,5,5,6,6,6,5,5,4,8,6,9,4,21,"divers","Ja",2,160,8,2.278448108920456
"6dckbr8voh0dk5yb","2023-05-19T20:57:59Z","exp",14,3,5,3,2,4,7,6,1,3,3,4,6,6,5,1,7,7,6,5,6,3,8,7,5,3,5,6,3,2,7,8,3,4,8,5,5,5,7,5,6,6,5,6,5,5,4,5,7,6,3,5,6,6,6,5,4,7,7,6,4,4,5,4,5,6,7,5,4,6,4,6,5,6,5,5,5,7,4,4,4,4,5,6,7,7,3,3,4,7,3,4,4,6,7,6,5,4,4,4,5,21,"weiblich","Ja",1,140,1,1.1681579148778707
"41tnq11aphdgctv6","2023-05-21T14:43:52Z","con",57,4,6,5,8,5,6,5,4,2,6,5,6,5,3,4,4,6,5,5,5,4,6,6,4,6,4,4,1,4,6,3,4,5,4,5,4,2,4,6,7,7,6,4,5,3,6,9,4,6,4,6,5,5,4,5,3,4,4,3,6,6,6,4,4,3,6,6,3,3,2,4,6,7,6,5,2,7,4,5,5,7,7,3,5,5,7,4,6,3,7,6,3,5,6,5,6,3,3,5,2,27,"weiblich","Ja",6,80,4,1.0774545739546428
"3yckcyy76j0pjs0r","2023-05-21T16:09:56Z","con",97,5,3,7,7,8,6,7,6,4,7,8,5,5,6,5,5,5,6,7,4,8,6,4,6,7,5,5,6,5,4,6,6,3,5,8,7,5,6,6,5,3,6,6,6,4,6,5,5,2,6,5,8,7,3,4,7,4,6,7,3,6,2,6,6,5,4,4,7,7,7,4,3,6,2,4,4,3,5,6,7,4,6,8,5,6,8,6,6,4,4,6,2,5,6,5,3,4,8,5,6,26,"männlich","Ja",1,160,8,1.2930788006524154
"mqcznslhglggsaa1","2023-05-22T10:37:47Z","exp",48,9,8,3,4,5,4,4,6,4,3,7,5,6,4,4,4,8,9,1,6,4,5,6,3,6,7,3,6,5,6,8,6,6,2,1,5,4,6,4,4,6,7,5,7,3,2,5,3,8,7,4,3,6,3,5,5,3,5,4,5,4,6,3,4,5,4,5,5,3,5,4,1,3,7,6,6,4,5,3,7,4,4,4,2,7,4,4,5,4,4,9,5,5,0,7,5,7,6,5,6,21,"weiblich","Ja",2,-220,8,1.57714284928025
"qx5bek18ecezv2wl","2023-05-23T16:19:41Z","exp",58,6,6,8,5,5,5,6,6,3,2,6,3,6,4,2,5,2,8,7,8,4,2,4,5,4,7,4,6,3,4,4,6,8,6,6,3,5,8,3,5,3,5,5,4,5,7,3,7,6,7,4,6,2,3,5,5,6,5,6,3,5,3,4,6,5,5,6,3,4,5,6,6,4,4,4,6,6,4,7,5,6,5,6,4,6,6,8,4,4,7,5,5,3,3,2,4,4,4,3,5,21,"männlich","Ja",3,-120,6,1.7267502851343581
"f7btb0pk68vt8yt7","2023-05-24T19:07:15Z","exp",46,4,5,7,4,6,6,4,4,3,5,5,1,3,7,5,3,6,7,7,6,7,5,6,7,6,3,7,6,4,5,4,4,5,2,4,3,4,3,9,6,4,5,5,2,7,4,3,4,2,4,6,5,7,4,6,5,4,6,5,7,8,3,4,5,8,6,8,6,7,6,5,3,5,7,5,6,4,3,7,7,5,8,2,4,7,7,4,4,3,3,4,5,2,6,6,7,5,8,4,3,53,"weiblich","Nein",5,160,3,1.4021813934954486
"t6s24s3k8l3kygvn","2023-05-24T21:08:21Z","exp",17,7,4,5,4,4,7,2,4,6,3,3,2,5,6,7,6,3,5,6,5,7,4,6,7,6,6,7,4,3,5,5,6,4,5,5,7,4,4,6,3,5,4,5,5,5,9,5,7,5,6,6,5,6,5,5,2,4,5,5,4,3,6,7,5,5,5,5,4,3,6,5,6,5,3,3,6,4,8,6,7,2,6,3,2,5,2,3,3,3,6,5,3,5,4,5,7,5,4,7,4,57,"männlich","Ja",1,-160,5,1.4034116520679294
"atcbtv27lkd6jg4z","2023-05-26T17:10:36Z","exp",45,3,4,7,5,4,10,5,5,4,4,3,6,6,6,2,5,4,7,7,2,3,5,7,5,4,4,10,4,6,4,5,5,5,6,7,6,3,2,4,6,6,3,3,7,5,4,4,4,6,3,6,5,6,4,5,3,7,2,6,3,5,3,3,4,6,6,5,6,3,7,5,6,5,7,3,6,4,3,5,6,4,6,4,5,7,4,3,2,6,6,7,3,5,4,4,3,7,7,4,5,19,"weiblich","Ja",1,-180,4,1.2893599215449472
