"subject_id","stimulus","sound","qbit","trial_number","date","tp","sums"
"dcwmdzpr","img/Norstat/pos/096.jpg","audio/c1.mp3",0,0,"2016/12/23 12:45:08","A",61
"dcwmdzpr","img/Norstat/neg/044.jpg","audio/d5.mp3",1,100,"2016/12/23 12:45:08","B",49
"ct81vznd","img/Norstat/neg/096.jpg","audio/d5.mp3",1,0,"2016/12/26 11:28:36","A",56
"ct81vznd","img/Norstat/pos/047.jpg","audio/c1.mp3",0,100,"2016/12/26 11:28:36","B",56
"h6pvf0g8","img/Norstat/neg/082.jpg","audio/d5.mp3",1,0,"2016/12/27 11:50:21","A",49
"h6pvf0g8","img/Norstat/neg/087.jpg","audio/d5.mp3",1,100,"2016/12/27 11:50:21","B",45
"brxakzno","img/Norstat/pos/014.jpg","audio/c1.mp3",0,0,"2016/12/27 16:46:25","A",57
"brxakzno","img/Norstat/pos/041.jpg","audio/c1.mp3",0,100,"2016/12/27 16:46:25","B",46
"5nq46533","img/Norstat/neg/049.jpg","audio/d5.mp3",1,0,"2016/12/28 13:38:20","A",52
"5nq46533","img/Norstat/neg/071.jpg","audio/d5.mp3",1,100,"2016/12/28 13:38:20","B",55
"2juarxl1","img/Norstat/neg/016.jpg","audio/d5.mp3",1,0,"2016/12/31 10:08:19","A",42
"2juarxl1","img/Norstat/pos/090.jpg","audio/c1.mp3",0,100,"2016/12/31 10:08:19","B",44
"rkxoz0tw","img/Norstat/neg/078.jpg","audio/d5.mp3",1,0,"2017/01/13 19:30:47","A",42
"rkxoz0tw","img/Norstat/neg/073.jpg","audio/d5.mp3",1,100,"2017/01/13 19:30:47","B",52
"jqypqfmj","img/Norstat/pos/078.jpg","audio/c1.mp3",0,0,"2017/01/20 00:56:14","A",50
"jqypqfmj","img/Norstat/neg/056.jpg","audio/d5.mp3",1,100,"2017/01/20 00:56:14","B",50
"chqhfdae","img/Norstat/neg/077.jpg","audio/d5.mp3",1,0,"2017/01/20 10:02:43","A",50
"chqhfdae","img/Norstat/neg/052.jpg","audio/d5.mp3",1,100,"2017/01/20 10:02:43","B",54
"w5b6zkaz","img/Norstat/pos/091.jpg","audio/c1.mp3",0,0,"2017/01/21 19:02:24","A",50
"w5b6zkaz","img/Norstat/neg/049.jpg","audio/d5.mp3",1,100,"2017/01/21 19:02:24","B",50
"conna2j9","img/Norstat/neg/055.jpg","audio/d5.mp3",1,0,"2017/01/25 20:23:16","A",53
"conna2j9","img/Norstat/pos/093.jpg","audio/c1.mp3",0,100,"2017/01/25 20:23:16","B",49
"vxhqc1ut","img/Norstat/pos/001.jpg","audio/c1.mp3",0,0,"2017/01/25 20:58:50","A",51
"vxhqc1ut","img/Norstat/pos/031.jpg","audio/c1.mp3",0,100,"2017/01/25 20:58:50","B",48
"o4etkaa8","img/Norstat/pos/062.jpg","audio/c1.mp3",0,0,"2017/01/29 22:28:50","B",46
"mb85pmm9","img/Norstat/pos/059.jpg","audio/c1.mp3",0,0,"2017/01/30 12:49:22","B",52
"lmh01fld","img/Norstat/neg/066.jpg","audio/d5.mp3",1,0,"2017/01/31 21:11:35","B",61
"uq9y3zce","img/Norstat/pos/081.jpg","audio/c1.mp3",0,0,"2017/03/01 14:17:28","B",52
"d1xosd4s","img/Norstat/neg/048.jpg","audio/d5.mp3",1,0,"2017/03/03 12:50:57","B",52
"f6awt84k","img/Norstat/neg/058.jpg","audio/d5.mp3",1,0,"2017/03/22 16:22:13","B",51
"shppraln","img/Norstat/neg/051.jpg","audio/d5.mp3",1,0,"2017/03/30 15:16:12","B",55
"yqn8mcnv","img/Norstat/neg/010.jpg","audio/d5.mp3",1,0,"2017/03/31 09:47:05","B",51
