"X","subject_id","date","session","sums","sumsnosave","nosavedel","age","sex","QL1","QL2","QL3","QL4","QL5","QL6","ssum2","ssum1","osave.bf","ssave.bf","snosave.bf","BF"
18,"f2011075-93c1-1f25-5260-272a48a0e3a5","2020-10-14 13:35:31",18,10,NA,1,64,"männlich",6,6,6,6,6,6,10,10,1.08460557437662,0.828140034238274,1.53379898719071,0.9837884495094503
19,"b07742a3-c631-4da9-24b6-755c281cb971","2020-10-14 13:38:12",19,7,NA,1,77,"männlich",4,4,4,5,4,3,7,7,0.949700961353432,0.751897591789671,1.22921393767421,0.8304898369830725
20,"f60928c5-6804-c77b-51d0-1f223a6c0c39","2020-10-14 13:42:28",20,11,5,0,48,"männlich",4,4,1,5,0,1,5,11,0.983981850761856,0.770139244745937,0.944690537704998,0.8653343818848294
21,"bf1aed76-a9dd-01af-4263-da311adcd1a4","2020-10-14 13:44:16",21,9,NA,1,77,"männlich",4,0,5,5,3,4,14,9,0.943234378480179,0.74214219533676,1.08358940514996,0.8199600357585854
22,"25652841-a612-da1f-3d54-1f4ed71cdeba","2020-10-14 13:55:46",22,6,12,0,24,"männlich",6,5,6,6,5,2,12,6,0.812246608487982,0.664235422448592,1.16866379391148,0.6866547373641706
23,"a5b452d7-5e9d-bed0-ecc2-659fa6b2351a","2020-10-14 13:59:24",23,9,NA,1,57,"männlich",4,6,4,6,3,2,13,9,0.782121087811548,0.641566952269007,1.31004832032547,0.6569454952053984
24,"75fc1471-44ed-41ea-a864-23d7828b33a3","2020-10-14 14:19:41",24,9,NA,1,58,"weiblich",4,4,5,5,3,5,9,9,0.75317643974955,0.61970391834178,1.25321274710581,0.6290882014645067
25,"09fe5d7e-5227-b130-a66b-6ad5d52b36ac","2020-10-14 14:20:17",25,12,NA,1,51,"männlich",6,5,5,6,0,0,13,12,0.800847161626584,0.65177623618158,1.4106110397499,0.6729272459644754
26,"1442ab8d-0c3e-4729-1a98-9c69e2316f75","2020-10-14 14:20:53",26,10,6,0,34,"weiblich",1,3,2,5,1,1,6,10,0.796992731335778,0.646781389521614,1.15817166261768,0.6684248862720071
27,"999d71b8-9d61-262f-c9ad-46b6aac9ed7f","2020-10-14 14:22:43",27,9,7,0,46,"männlich",3,3,3,3,3,3,7,9,0.766920683109998,0.624604459312731,1.0281471739363,0.6396115571053457
28,"0f7c524a-c596-071c-285f-655737c0b498","2020-10-14 14:23:13",28,11,12,0,36,"weiblich",3,3,4,5,3,3,12,11,0.789771153402883,0.638377779940599,1.09895618702096,0.6600440265072165
29,"67900233-8efd-5670-c426-35bba899f9c4","2020-10-14 14:24:55",29,7,9,0,58,"männlich",4,2,5,6,2,2,9,7,0.713638873244491,0.588014436558338,1.05827570510855,0.5900620122580423
