"subject_id","date.x","sumsexp","sumscon","conrw","exprw","expbf","conbf","respid","status","interview_start","interview_end","q5a","q5b","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q2_7","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q4","q6","gender_image","s2","agegroups","totaltime","exp.BF","con.BF"
"3_odNp9Zzx8h8_wccCa7DCdy1sUYgC1UmWpeud_dEv9LliiPIv0KQVC1RSwCyN4YgdkTnnSzDg6m1K33siby6IvUr-9Kr9nIY6cvFKw3Srs1","2018-09-14T16:33:13Z",11,11,-9,0,0.8896126736462362,0.63609869466398,747,"complete","43357.6451388889","43357.6666666667",1,3,7,7,2,1,1,6,5,3,3,3,4,4,5,5,"meine Toleranz",1,67,6,"1709.0",0.8896126736462362,0.6360986946639798
"5KnfXo8g0gJzzyAGBQGG3bG0dbRt4GFr04y_MqdO6-SVqXUegbm2pAOFXtki0WbkJ6YWt-J1tS_diBxVGMeO9T0WvQu4MdU3MjRcfRTuzAY1","2018-09-14T16:34:13Z",11,14,-5,1,0.9240662533908491,0.743392787289822,134,"complete","43357.6472222222","43357.6534722222",3,2,7,5,6,3,6,6,2,2,4,2,4,4,2,5,"was mehr Emotionen auslöst",2,66,6,"508.0",0.9240662533908491,0.7433927872898222
"5tAFOYLmNS3t22rPWx0TmyUlLE7alME3Sn9JSCghClftEcjWNCPOU9KhI3SogKmMx1zKUZql0ItaGmZ7GIfSCuLYx7E2-ZmI1-OvKLLBUco1","2018-09-14T16:44:38Z",12,10,-5,3,1.0063405655697075,0.735082099317476,57,"complete","43357.6548611111","43357.6604166667",1,4,7,4,4,5,6,5,5,3,3,3,3,3,3,5,NA,1,67,6,"437.0",1.0063405655697075,0.7350820993174763
"jTUaqLy3YPew_Ck4Z_cPtWg2wYxFmwvrEx8IyQ5dta1qSUpq7GbB1jeNz4XFba0A6jGZJbFSdDtnOFKWA1KZoYxpJX8xeq8dwAYNpkYWFbs1","2018-09-14T16:57:59Z",9,10,-5,2,0.9563048398367335,0.727211601087196,164,"complete","43357.6631944444","43357.6708333333",1,5,6,7,5,5,2,5,5,4,2,4,5,3,4,5,"das gedächnis",2,73,6,"544.0",0.9563048398367335,0.7272116010871964
"2xLQ0FONjzniC63-WGEQkbt3DX4HuZjCu3rCZkiqMEz8YZzvAUSKso1vZW6tvaOCsA8Df_uBWV2s8hjHhWEhxcDMkiKmYJ4RDYaJN2HwyQw1","2018-09-14T17:33:00Z",10,10,-5,2,0.9533467682560448,0.719731037735046,171,"complete","43357.6881944444","43357.69375",2,4,6,6,6,3,3,5,3,3,3,3,2,2,3,5,NA,1,69,6,"446.0",0.9533467682560448,0.7197310377350461
"eQsoTSEMLMXrwQuL7kWrQhjd6GwDsFT4T4_hiWDNb6ptJMaNkEh641wrNdBRPj68sc-bbinASwEOUvc-REuOY5S_-kEtfNaDuDATSgXEgGw1","2018-09-14T17:44:39Z",8,10,-5,0,0.8647960485241815,0.712598833509176,18,"complete","43357.6965277778","43357.7020833333",2,3,6,4,5,4,3,3,4,4,4,3,3,3,4,5,"weiß nicht",2,57,5,"451.0",0.8647960485241815,0.712598833509176
"xgammSq-wczQ8qzIx2-6DzHta589JIp-WhK3jhBwcsnBZW4aVbjLknmaaGhQ0ssP5uRHzmmdUN1hxsSZ6wz4bVqcXj-4-ub8cBb_w0VQ7h81","2018-09-14T17:45:01Z",14,15,0,4,1.0153514196471336,0.860312850801099,49,"complete","43357.6958333333","43357.7020833333",3,3,6,6,5,6,5,5,3,2,4,2,4,5,3,5,NA,1,63,5,"519.0",1.0153514196471336,0.8603128508010993
"dcTXinCPAfbGNGXE0tj6h-5FATX7LNzg3gDib8wiy16gLMosVYVM4e8pstOEAPv9CwNPD8SsaBfGHRNrnUwtdzUmKs-3e706-JaaIGwlTNQ1","2018-09-14T18:15:45Z",9,10,0,3,0.9687751579266953,0.855958529083698,396,"complete","43357.7173611111","43357.7236111111",1,5,7,4,1,4,1,6,6,3,3,5,2,2,5,5,NA,2,58,5,"502.0",0.9687751579266953,0.8559585290836982
"BwueEnGRYiouEEO8I53P0eZQwByowF47EHQvuFRK9ddNt3Y3BQp8VAtug5aJVeb6fJqlhwg4jLt5B44pgwba9E4yRa-Vx18nDFhFOHdmFRo1","2018-09-14T18:16:28Z",12,10,0,5,1.051976406619836,0.851723333766361,227,"complete","43357.7180555556","43357.7243055556",1,3,7,6,4,5,1,1,6,4,2,5,1,1,5,5,"gut und böse",1,66,6,"481.0",1.051976406619836,0.8517233337663608
"HuGaVXW1QfQwJvbFjVfjrM2IlHQV0cUwA8g-lsM4Z9-wqwF4nHLNL_5mwwr1eDd40emznBjFJ-E9MQrsyNUgRQUODuhPXOeh059Xgs995z81","2018-09-14T18:20:34Z",11,9,-1,6,1.1002273329017112,0.816995097080511,716,"complete","43357.7208333333","43357.7284722222",2,2,1,1,1,1,1,1,7,5,1,5,1,1,5,5,"was daavon hängen bleibt? An welche BIlder man sich eher  erinnert, die negativen oder die positiven ...",2,62,5,"566.0",1.1002273329017112,0.8169950970805105
"z2pjmHN7iSRZgA0Y6CKS0wCWfnzvt2-CXkOYECxxCVWizQqk8ZVA8ZHeQ414zsAgtVM7uakgorwyfkxHZCxc-VwXTvCFbHwkux0ei3hwEKU1","2018-09-14T18:24:38Z",11,11,0,7,1.15383890661915,0.843577200700908,22,"complete","43357.7243055556","43357.7291666667",1,5,6,6,6,5,3,5,5,4,3,4,3,4,4,5,NA,1,45,4,"427.0",1.15383890661915,0.8435772007009085
"_pPnQsPfcy2nkF2hYTo8qFSqKSeq8sH6RX3jYNvOHMwtYMjLncmnC15Zb4K36QF2xGn53DO1_sikqPLI5Llfy0kfR6waJSDFD52fFeeXxkQ1","2018-09-14T18:36:32Z",8,8,-2,5,1.0391793850117954,0.780515623280664,366,"complete","43357.7319444444","43357.7409722222",3,3,5,5,5,4,6,6,2,4,2,3,3,3,1,3,"guii",1,29,2,"803.0",1.0391793850117954,0.7805156232806636
"LDznbUb6x_lHO-6w5kHV_-P5WW080WtJ_nxN3bxbAWOKDV8BRv1xM9riSUU863jbLhtnrE8lBtz3xwI7KIhzcujAnSPgGSYrBMuhcEzuyCQ1","2018-09-14T18:43:54Z",6,9,-3,1,0.8673633771859565,0.749206220722644,56,"complete","43357.7368055556","43357.74375",4,1,4,5,2,2,1,3,4,2,5,3,2,4,5,5,"Keine Ahnung",1,72,6,"564.0",0.8673633771859565,0.7492062207226444
"WBWVBGtIrUzJIxf0Id08-tDnqmV_cLs8S70wxJqOUktppWBEqeTs8SJpU84WZQhPe5fxNYy80gcdnM1tkKTo7g5a8yyLbcLys2AnrHIIlok1","2018-09-14T18:44:25Z",9,8,-5,0,0.8320677768314622,0.696972759228733,142,"complete","43357.7347222222","43357.7444444444",2,5,6,4,2,5,2,4,2,4,2,4,3,4,5,5,"umwelt",1,66,6,"782.0",0.8320677768314622,0.6969727592287335
"IMuCrwnFPZmsZGbLq6_2ZkmKWnvHKmkmvw1enUDWH4Gl1UcT9ptjpA_Pbs3zGmI0t13ViAdaXwyjThrkil_ncF-4XDj3Z62scewrJ_2tQZs1","2018-09-14T18:52:22Z",11,7,-8,1,0.8602845877765395,0.63436949931721,75,"complete","43357.7423611111","43357.7493055556",1,5,5,4,3,5,1,3,6,4,2,4,2,2,3,5,NA,2,79,6,"593.0",0.8602845877765395,0.6343694993172101
"QUFwBpLpDhfmPbluK1j795P4dMP_-g23k2i_FtINtWiM_avlbKQXtwibVRGHE2oC4duHpQbN6kCzq2BjSs-hxgf9JKeQyfaEseGj05XZLHo1","2018-09-14T19:10:42Z",10,7,-11,1,0.8570105231808003,0.582484663038339,66,"complete","43357.7548611111","43357.7625",1,3,5,4,5,4,3,2,6,3,3,5,2,3,3,5,NA,1,78,6,"603.0",0.8570105231808003,0.5824846630383386
"NmUdd0U26zJgwkFuXghRDjSQnOPbabE5h47cPhWyp0uw80MJQK8wlznO7DYR3wDJhyBmUkY6R0rnOZOxMMj8qIHCki97B_0GZ8rS_e8D31s1","2018-09-14T19:10:55Z",5,12,-9,-4,0.7205238984229754,0.615241263092216,537,"complete","43357.75625","43357.7625",3,5,7,7,7,7,7,4,1,1,3,3,3,5,2,5,"eine gute Frage...ob man es mit ein paar belanglosen Bildern schafft jemanden in relativ kurzer Zeit zum einschlafen zu bringen?",1,31,2,"532.0",0.7205238984229754,0.6152412630922157
"nYOm2rBbmJLlr7qRR7aNVYHZeKsUl7sx3-T607cEvezfTKxvOlWvv14GpsjqAA2aiFPACzg0yoiZ610KZ708W8ADbM0gFrEVVibnQi3nrWA1","2018-09-14T19:34:28Z",8,12,-7,-6,0.6749287477401061,0.651030088906395,145,"complete","43357.7729166667","43357.7791666667",5,3,4,4,3,4,4,1,3,3,4,3,3,3,2,5,"Unfallbilder",2,45,4,"501.0",0.6749287477401061,0.6510300889063952
"IdzNBWXrGfrXG9CbYxo-Ma17C7TCAKUsM4UYI0yAms-1xAIjfXoyjPE67sn_mMrIEcH7Je6cDwJmBt6EzjHjbhEq7jF5-9oN7iZ8MAQrrEs1","2018-09-14T19:37:51Z",7,11,-6,-9,0.618785850670936,0.667462436012769,186,"complete","43357.775","43357.7805555556",3,1,6,4,1,4,1,4,6,4,3,4,3,3,4,5,"Aufmerksamkeit?",2,53,4,"444.0",0.618785850670936,0.6674624360127689
"x8KhBWrNbvYdBncxPCUA6Czreec2QcAdDn73YjJ5_fQ50g6r_UFoncZrb8RgYBtekg2BkxMUXLwVx7C0yxTlFA6PQiB4eyPRfPUl3dA7Vxk1","2018-09-14T19:47:41Z",13,9,-7,-6,0.6744426257647438,0.64329731599351,93,"complete","43357.7805555556","43357.8097222222",1,5,7,6,2,3,4,5,6,4,5,3,4,4,3,5,"weiss nicht",1,47,4,"2527.0",0.6744426257647438,0.6432973159935103
"24qM9yWZQBDBedPdaHPH7BbrhQoer-p8vdaP0XoUpMivVzReGz5shOt7QTMkcmLCAfkKrBhLqeOqSj-GQBFErdf84k4JWBYksqmhH30_fko1","2018-09-14T19:53:17Z",10,8,-9,-6,0.6703082489821064,0.603607104450345,665,"complete","43357.7847222222","43357.7916666667",1,3,2,3,3,2,1,2,2,2,2,4,2,3,4,5,"Aufnahmefähigkeit",1,65,6,"564.0",0.6703082489821064,0.6036071044503448
"WVDNBr1xN0eT7_NB0TP-aofMAki9oFwkpRKnSxynMkpkZiJ9Q96rsKzLQysQB-BXJkgoufbB4nYGbcIPNSKlVv3xvMwSbxK99wgo1Axz-gc1","2018-09-14T19:56:03Z",11,10,-9,-5,0.6869435087541843,0.599292416019435,184,"complete","43357.78125","43357.7958333333",5,3,7,7,7,5,6,7,3,4,4,4,3,5,2,3,"Mein Gedächtnis Konzentration, ,",1,72,6,"1280.0",0.6869435087541843,0.5992924160194353
"etNdXudoFhPkQWgrSfHllGdMrU9BBKVGaRQYGfOT_7DM9iPnZl0SGBLJyEM6dSFtlKOybSKaTOuuY876DsmPCJaQ2IHJ31xpgIa5QnwAbPU1","2018-09-14T20:23:14Z",7,9,-10,-8,0.6291753960024549,0.578111949565922,233,"complete","43357.8069444444","43357.8125",1,4,5,6,3,5,3,3,5,3,3,3,4,3,4,4,"schlechte und gute Erfahrungen mit verschiedenen dingen",1,53,4,"507.0",0.6291753960024549,0.5781119495659217
"HBum8J1p119146C8Fylyyx-FKysZr8vyXfGfzl7z5k58ylsCLC8dM25TUI_LjBu97pgUkQ7xPi6sPMJjkQOZGq5t4DuPLtiRExDxvZLRI_o1","2018-09-14T20:37:53Z",8,9,-11,-10,0.5931737934132475,0.557816770161601,196,"complete","43357.8173611111","43357.8243055556",3,3,4,4,1,4,1,4,5,5,1,5,2,3,5,5,NA,2,66,6,"527.0",0.5931737934132475,0.5578167701616007
"293rM83HMMgLpI6yUkLFY_WAb9rFQB32fXDHpvNEnOYY9kWY58OmTDF2bULsMFQHHcUERi3_I22A8SJKonXD72uaB9QgC9xVn6HEjPPFToI1","2018-09-14T20:56:01Z",10,8,-13,-10,0.5891731746532552,0.525296670494617,68,"complete","43357.8284722222","43357.8409722222",1,4,5,5,4,3,2,5,6,4,2,5,2,2,4,5,"0 Ahnung",2,72,6,"1051.0",0.5891731746532552,0.5252966704946169
"Otv8Okfsk_11IFYvbOlfSnSvxb4zl3xCidq99RlN82RQJMv-tUIzym9BDOzsLXd3pd_4CTnySxJq_syi7Mo9JTDmi3kFb_o24XqgosqA_Eo1","2018-09-14T21:09:33Z",9,12,-11,-11,0.5698643993665883,0.555333967384565,535,"complete","43357.8388888889","43357.8444444444",2,4,7,7,3,6,2,7,6,5,2,5,1,3,5,5,"Den Ekelfaktor der gezeigten Bilder",1,38,3,"480.0",0.5698643993665883,0.555333967384565
"YIU4Vey2GhcfmHovXB4QgWwGyquInMSAQFO20IqQM1SR-Z6mSWlOX6bDhvfY_NrvhcvAYr5wEDEFoL7Kky-BRbJPrbcoNUApxiaUpJAww941","2018-09-14T21:30:33Z",8,9,-12,-13,0.5384045325987431,0.536220719592019,373,"complete","43357.8527777778","43357.8604166667",1,3,7,3,6,4,2,3,4,4,2,4,3,2,4,5,NA,1,24,1,"622.0",0.5384045325987431,0.536220719592019
"YZdw8CufPOaHWoU7xevbjD5uX2EryfAy8HtAPxTH8HqdYiSj0-ICz5eegSpCgLTWWzbLCrvMgdnBUfLv1w38J1sIUbo-KJ6e3oX9qIZqdY41","2018-09-14T21:38:33Z",12,13,-9,-11,0.5664904152663871,0.587659777830446,115,"complete","43357.8569444444","43357.8638888889",2,4,6,6,4,6,5,5,4,3,3,3,3,3,4,5,NA,2,40,3,"624.0",0.5664904152663871,0.5876597778304462
"-remrjuIAK0m2jbUFCSGHtT7TTZGneu0prO6_WlKKAu78o98XQ_XXt03H_wwjeEefFC4VcfIvoZ5tbBeg_KUNycgjEIo05W2ZKiEZnU4C0w1","2018-09-14T21:48:30Z",10,9,-10,-11,0.5628131560957971,0.567415754777291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5628131560957971,0.5674157547772913
"MFtEO6wxNHHb_yKQLhRsgBT8jZ6O_wxZ7DfUU17s6RcZhq75PPCxWIfU1Au98u8eGuSvHrtmdAuLueelf_1keDBL7rSCNlwCBs574bR23oM1","2018-09-14T21:52:45Z",11,10,-10,-10,0.5755385163188348,0.563825422226878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5755385163188348,0.5638254222268778
"7NXjzURu9FAeZGXU4ErxP0WBHi9dI3q_4wqSf-iD20JFUuPlddbG_cw_HAFFvr4Ib0auaKezGjXoF-td8bu8ucsl_MUNXaFv6Qlb1x9O7AU1","2018-09-14T21:54:54Z",11,10,-10,-9,0.5890437516788705,0.560309947545957,343,"complete","43357.8645833333","43357.88125",2,4,5,4,5,2,1,3,4,4,4,4,2,2,3,5,"Welche Bilder den größten Eindruck hinterlassen.",2,64,5,"1432.0",0.5890437516788705,0.560309947545957
"khzR-anM0_cC7mUM33tSHOCpCAgqnLJUhNSWHMLYSvzQd2u-yIkVlFh0rxs5iGYsYny07vQzdMdCnvKHWm8-4246No9aM--LObhc0S89f7w1","2018-09-14T22:08:58Z",12,10,-10,-7,0.6225785890527729,0.556866272641222,340,"complete","43357.8756944444","43357.8875",2,3,1,3,2,2,1,3,6,5,2,5,3,2,5,5,NA,2,41,3,"940.0",0.6225785890527729,0.5568662726412218
"z0XSgCzFE1_1UkFGjsRBmyZkoLBS_1OShwJX2WaQSxtWov-Dq_Zd7fKwdnWDvKmazfdvh4T9_MTfe7fWoCHzQUpGlcb4s3sU0iyxy3nRNno1","2018-09-14T22:11:47Z",10,11,-9,-7,0.6193310997230291,0.571324286951219,41,"complete","43357.88125","43357.8895833333",3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,"Meine Meinung",1,37,3,"657.0",0.6193310997230291,0.5713242869512192
"X7sRPz37BEplWuPhDqODFsvxR9lHGXFKQ1fpecFGfsAiQWHsybxE20M3SxFRVj1j5xPc5EfgxaSPegs0Q85V9LY4uhbd9NGKZpzgqjPi5Gk1","2018-09-14T22:14:04Z",9,6,-13,-8,0.5985120314638983,0.513407344374081,525,"complete","43357.8722222222","43357.8916666667",1,2,7,5,1,6,1,3,6,3,1,5,1,1,4,5,"Welcher Meinung ich gegenüber meines Glücks/Unglücks nach Ansehen der Bilder bin.",1,30,2,"1659.0",0.5985120314638983,0.513407344374081
"vGGr6IpdTVhF2DQ_QVSLDniwnVH1l9m00678bAfUvQfNIjuxgfrTZ97oAyxfpZh466VvzQ2PFy-vYq2J0LO7CxndV3dsah9gEQeegG1magQ1","2018-09-14T23:08:37Z",12,10,-13,-6,0.6336113639581544,0.510130661061714,76,"complete","43357.9194444444","43357.9284722222",2,4,6,4,4,4,2,3,6,4,4,5,3,2,4,4,"wie aufmerksam kann ich sein",2,67,6,"646.0",0.6336113639581544,0.5101306610617141
"0HQJPqoF7X--A279s2xNuGsi8Eo9w_6X2YgGj1nP9TewyCbPN67GgZSZaOzPM2060dIdkexQpsQ7u3L9fWFwm3Ak-OlYB7wUpOPe0JZDzJs1","2018-09-15T00:19:09Z",6,9,-14,-10,0.5671936027278346,0.493436158934074,69,"complete","43357.96875","43357.9770833333",2,3,6,2,5,3,2,4,4,3,2,4,2,2,4,5,"positive bzw. negative Eindrücke",1,75,6,"665.0",0.5671936027278346,0.4934361589340737
"THJ-MnBRhFDsgb6bjRhZNw7Mt-jzfztBkirAJd4BPF_5uWkxEJOPOz4YJYZOyAPeYE53b2aEhIhTHj07sYjTEmBUZcfoJpUJ_XDI44M09Po1","2018-09-15T01:06:54Z",5,7,-17,-15,0.5049181472900718,0.457060792054366,739,"complete","43357.6166666667","43358.0111111111",1,3,7,6,7,1,1,3,5,3,2,5,2,1,3,5,"Ob aufgefallen ist das Bilder wiederholt wurden",1,51,4,"767.0",0.5049181472900718,0.4570607920543658
"sNl5dn8SkHqIaYLMduhoCixkDnXfd_JMOqVSHhG2QJwWPMjli8Af0yv9kZOsGuSyRC8g07JQB_CfgYjjE65hmGKCaPWjJNykMMkdcYDkZfQ1","2018-09-15T05:13:12Z",13,12,-15,-12,0.5447845483934152,0.491774628017871,48,"complete","43358.1743055556","43358.1798611111",2,3,5,4,2,5,3,3,5,4,3,3,2,2,3,5,NA,2,71,6,"478.0",0.5447845483934152,0.4917746280178709
"UrOS75AvmutmCq_iHutC_OsOYVpOU8iYIC0DJAQ8q8A00vTOrqnd3iihiXuCFiKwSycSFa2cPQMMIugwn7piEpZMjjm6-MW7hXrGp_TE-J81","2018-09-15T05:44:40Z",10,11,-14,-12,0.5417781362426367,0.492081039409957,569,"complete","43358.1951388889","43358.2034722222",3,2,5,6,6,2,4,5,3,2,4,3,2,2,3,5,"welche Bilder in meiner erinnerung bleiben",2,67,6,"646.0",0.5417781362426367,0.49208103940995723
"orKKmVPwdd4G8M_Zca61ENUgopfPqz-AB9RY9nAwR5ChW6FWclrAgBXykU-zHYl_zZjLowduYUXqBCJCm-XOpAf9kyKiVn1gdbSA4q0Xj0w1","2018-09-15T06:00:46Z",8,9,-15,-14,0.5137488591100388,0.476400505299059,356,"complete","43358.2069444444","43358.2138888889",2,4,5,4,3,2,2,2,4,3,2,4,3,2,4,5,"Reaktionen auf die unterschiedlichen Bildinhalte; Erinnerungsvermögen",1,66,6,"530.0",0.5137488591100388,0.4764005052990589
"NvCDjg3hbQZTA_nq4Ki1_nwVOahwLeMS_NFULrusD-G7Wf1x8rMGFMSvz6w_c4-b2yA6res75DWJ1esknrn5O_4fqa2rbE-9DJhDS1yOz841","2018-09-15T06:44:46Z",15,8,-17,-9,0.5884194932489549,0.450860658931056,394,"complete","43358.2368055556","43358.24375",2,4,6,3,2,3,2,5,7,4,2,5,3,2,4,5,NA,2,46,4,"572.0",0.5884194932489549,0.4508606589310557
"cuO8IAG-fSyBQRn_isIT2KBza13UUB-Oc2DYgYKEDzb8eLWL0pfpeuVYOamxCzmHEbPSCyW2LfFVQsmqaWav0DPQyMuB_7HweK_AQbpgMMA1","2018-09-15T06:59:12Z",11,10,-17,-8,0.6012256767162013,0.448006216809165,189,"complete","43358.2479166667","43358.2541666667",1,5,7,6,5,3,6,3,5,4,4,3,3,1,5,5,"keine Ahnung",2,63,5,"559.0",0.6012256767162013,0.44800621680916536
"7LAAUlmBomSbk5JGXQhuMH21eszx8rQ1H90kPJo7jSI2BQylLNnPjwM9Z8BfDe0GMQZpAgXHTcXkYLOcqvHRmyed_kDnnf0gM6qIGA145DY1","2018-09-15T07:17:54Z",12,8,-19,-6,0.6319111712333618,0.424649755837026,21,"complete","43358.2611111111","43358.2659722222",2,4,5,5,5,5,4,4,5,3,3,4,3,3,4,5,".........",1,53,4,"460.0",0.6319111712333618,0.42464975583702563
"KuBfRTaqzBlyIXwxReeHN-Wbz1fC6c7O7mGDYlUYMVe3zF43uyt-ACrgYq27j7BO3487uL3fpgqcV2QXDMMoayErhRJ2LE3x0PwsidnCKIM1","2018-09-15T08:08:11Z",9,10,-19,-7,0.6129054656347319,0.421919045075534,113,"complete","43358.2958333333","43358.3034722222",1,3,6,6,2,2,1,1,5,5,4,5,2,1,4,5,"ob die Konzentration nach einiger Zeit nachlässt",1,81,6,"575.0",0.6129054656347319,0.42191904507553396
"-MkoykFF3wziuvSiDTzXT8YAlzy5voncrhOYFnXGub9Dph37jzcY4sW94l9gm5fH87M-uqp__QsrfsAvvkYO99floJYJteghjGsK7O-N4uQ1","2018-09-15T08:25:39Z",11,7,-22,-6,0.6270486734567673,0.393424255691351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6270486734567673,0.39342425569135064
"SfJe-sJ5BXhM0LAt4eomD7a3vhUprML_zj5TzskMhb_b1nsF7hzAnSdIje82If6F_Sfs_lNQVzP5qYhRXG3TW8hra19VskE5Z0acdH-OPFU1","2018-09-15T08:35:08Z",7,12,-20,-9,0.578933961247931,0.413010390123065,58,"complete","43358.3145833333","43358.3201388889",1,5,4,5,1,5,1,2,6,4,1,4,1,4,4,5,"ich weiss nicht",1,47,4,"479.0",0.578933961247931,0.41301039012306484
