"subject_id","date.x","sumsexp","sumscon","conrw","exprw","expbf","conbf","respid","status","interview_start","interview_end","q5a","q5b","q2_1","q2_2","q2_3","q2_4","q2_5","q2_6","q2_7","q3_1","q3_2","q3_3","q3_4","q3_5","q3_6","q4","q6","gender_image","s2","agegroups","totaltime","exp.BF","con.BF"
"D4aGDiyBZNe138ijgYyyd_ipvEYQSi4K4XLpOXXKCCg1JJ7UDUR5P3yGoHodPKki3K7xymHGFvBEK9m0-my1IVSKVGlxbmzT2X3ZMB-ODVw1","2018-09-14T15:29:45Z",8,10,0,-2,1,1,357,"complete","43357.6020833333","43357.6104166667",2,5,6,5,4,5,1,1,6,4,2,5,1,2,4,5,"Emotionale Reaktionen bei den Personen, denen die Bilder gezeigt werden. Nach dem Motto, wer reagiert wie auf welche Reize bzw. Bilder, und zeigen Menschen auf die gleichen Bilder unterschiedliche Reaktionen.",2,51,4,"694.0",1,1
"mvx8Sbbx4eTKfz84KdfpfTBIWE2shWzb25vRu-oL74l-BO3y9Lqkar0AztvLJubLvCfjOXMAyKKQpPUGzLbg2rwpI2IEfu_WEGXWABcvtIU1","2018-09-14T15:38:51Z",10,6,-4,-2,1,1,245,"complete","43357.6083333333","43357.6145833333",2,3,5,5,4,5,2,5,4,4,4,4,3,3,4,5,"Umwelteinflüsse",1,55,5,"563.0",1,1
"UyAjx1Knue_9-n1aLN3jYspaj6RHCdJ18a1e67DmAPzE2UvUVGr3pqqimyCNZAOIJFf2m9-TKJ2mFlyQ2MaOdW9SDUKNUqrtZuY6MQhrOQw1","2018-09-14T15:45:06Z",13,12,-2,1,0.9885087614586044,0.885867001983647,163,"complete","43357.6125","43357.6201388889",3,2,5,5,5,1,6,6,4,2,2,3,1,1,4,5,"Menschen und Tiere unserer Umwelt",2,76,6,"649.0",0.9885087614586044,0.8858670019836465
"QNMkwUAwKql1ZESl6mLDK1nzllhYb6fDRXJ5bPun3749NecoL-ESItaN85Tu-sg0wPoCGhYhdW6-H-JJsXGiU4yElb_T6c4Mwonoska8s7o1","2018-09-14T15:53:05Z",6,8,-4,-3,0.8542180228739477,0.821117081178755,98,"complete","43357.6180555556","43357.6270833333",1,4,7,4,6,1,3,6,6,3,2,3,3,2,5,5,"Gefühle beim Ansehen der schrecklichen bzw. schönen Bilder. An was kann man sich noch erinnern ?",1,66,6,"626.0",0.8542180228739477,0.8211170811787549
"baJf_kqabBPH27TOe8cz7oj5OPfgXP37M4jVEyFV6DThNDMPwxcmV3lnkBCyYkSde1ozY63ra1PuXwOixNRL7J8TLtleeskF_1qKk63zi281","2018-09-14T16:00:26Z",10,8,-6,-3,0.8386801489246063,0.763026407873072,272,"complete","43357.6236111111","43357.63125",2,3,4,4,4,3,3,2,3,4,2,4,4,2,4,5,"Evtl. wo meine Schmerzgrenze liegt beim Betrachten von persönlichen Katastrophen",2,70,6,"588.0",0.8386801489246063,0.7630264078730722
"J1pvYqtW_Oh3XojU8oLP7yj4ifdEXHyYaa-1HNW4kkWDDUYuHtvC2DDDhkRKPTTIZxKjTZ6uVk63E2b6mChoEWyAQUBSAvfZWaMPwf1ohWc1","2018-09-14T16:14:35Z",12,7,-9,-1,0.8884204919122617,0.703596986818831,265,"complete","43357.6326388889","43357.6416666667",1,5,7,5,5,2,2,4,7,5,3,5,2,2,3,3,"keine Ahnung",1,72,6,"741.0",0.8884204919122617,0.703596986818831
"gXtg3KrVQZppTDME2eI5uSL6kVlL6BTNofx47t-ntpY6vCWi3v9DtZB8D3GaUPR8nrjje_10FpC_ItPoXLOOmiJ8pY9KZX5e9zSYpcoout41","2018-09-14T16:18:36Z",8,9,-10,-3,0.8233028907812809,0.669507776219446,138,"complete","43357.6361111111","43357.6423611111",3,2,6,5,6,6,5,6,1,1,4,4,4,5,1,5,NA,2,66,6,"482.0",0.8233028907812809,0.6695077762194462
"Z21G_IUgzmK6gzlN8Loqqjasw1P1gLuJXM4ss86ocSTTk73zS17_H5Ba5PrfVbLdnMhKIp2hl6pICS_VbmF-OOUW5XhUXPYygW2o1-4XsvA1","2018-09-14T16:21:20Z",10,10,-10,-3,0.8126483283692606,0.653284381808585,342,"complete","43357.6375","43357.6451388889",1,5,4,2,6,3,2,7,7,5,3,4,1,4,5,5,NA,2,69,6,"591.0",0.8126483283692606,0.6532843818085847
"E4IvZRyZhVXzbwBZsbrsiLY4jst8ogD2xc_Rh3UYg16DFkSqsz70GCXmQrVK9s7uQ-1UEF2HanKMVVQGn3_1P3P2h4wsYj5Hz55d7IsOL801","2018-09-14T16:21:22Z",11,10,-10,-2,0.8340477676384953,0.638663539919785,715,"complete","43357.6354166667","43357.6444444444",2,3,5,6,2,5,1,6,2,5,2,5,5,1,5,5,"ich weiß es nicht",2,75,6,"790.0",0.8340477676384953,0.6386635399197853
"JSAK6xqJMv11ngO3TWsYqHWsdmhqGavXnTyRmObPtgeT_C7l4DxVIadFep9_eiESnDmlKgONdCt0-DTQ-wZJ4SA-HWfx9fayAl8giEKKpwg1","2018-09-14T16:30:45Z",11,10,-10,-1,0.8596764776881779,0.625343225930259,208,"complete","43357.6284722222","43357.6506944444",2,2,6,6,5,5,2,3,6,3,1,5,2,4,2,5,"Aufmerksamkeit",1,70,6,"530.0",0.8596764776881779,0.6253432259302594
